id,name,street,adress,pow_teryt,pow_name,gmina_town,phone,url
point-26803,Małopolski Bank Spółdzielczy Oddział w Wieliczce,ul. Kilińskiego 2,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 278-13-95,mbsw.pl
point-24585,Bank Spółdzielczy w Skawinie,Rynek 19,32-050 Skawina,0202,dzierzoniowski,lagiewniki,Tel: 12 276-38-16,bs-skawina.com.pl
point-26806,Małopolski Bank Spółdzielczy Filia nr 1 w Wieliczce,Pl. Kościuszki 1,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 289-01-65,mbsw.pl
point-26569,Bank Spółdzielczy w Skawinie Filia nr 4 w Skawinie,ul. Ogrody 101,32-050 Skawina,0202,dzierzoniowski,lagiewniki,Tel: 12 276-84-50,bs-skawina.com.pl
point-26811,Małopolski Bank Spółdzielczy Filia w Wieliczce,ul. J.Słowackiego 29,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,,mbsw.pl
point-26809,Małopolski Bank Spółdzielczy Filia nr 3 w Wieliczce,ul. Wincetego Pola 4b,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 288-33-80,mbsw.pl
point-26570,Bank Spółdzielczy w Skawinie Filia nr 5 w Zielonkach,ul. Krakowskie Przedmieście 114,32-087 Zielonki,0202,dzierzoniowski,lagiewniki,Tel: 12 665-03-00,bs-skawina.com.pl
point-26810,Małopolski Bank Spółdzielczy Filia w Węgrzcach Wielkich,Węgrzce Wielkie 266/1,32-002 Węgrzce Wielkie,0202,dzierzoniowski,lagiewniki,Tel: 12 251-11-12,mbsw.pl
point-26571,Bank Spółdzielczy w Skawinie Punkt Kasowy nr 2 w Radziszowie,ul. Jana Pawła II 18,32-052 Radziszów,0202,dzierzoniowski,lagiewniki,Tel: 12 256-13-01,bs-skawina.com.pl
point-26963,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie POK w Nowej Rudzie-Drogosław,ul. Świdnicka 55,57-401 Nowa Ruda,0202,dzierzoniowski,bielawa,Tel: 74 872-94-34,gbsradkow.pl
point-26876,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział Budzów z siedzibą w Stoszowicach 92,Stoszowice 92,57-213 Stoszowice,0202,dzierzoniowski,bielawa,Tel: 74 818-10-08,bs-zabkowicesl.pl
point-26884,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Kasowy w Ząbkowicach Śląskich,ul. 1 Maja 15,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 810-08-71,bs-zabkowicesl.pl
point-26882,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Obsługi Klienta w Ząbkowicach Śląskich,Osiedle XX lecia 16,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 815-60-87,bs-zabkowicesl.pl
point-24891,Bank Spółdzielczy w Ząbkowicach Śląskich,Rynek 10,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 816-44-44,bs-zabkowicesl.pl
point-26883,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Kasowy w Ząbkowicach Śląskich,ul. B.Prusa 5,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 816-28-35,bs-zabkowicesl.pl
point-26885,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Ząbkowicach Śląskich,ul. Jasna 2A,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 815-23-09,bs-zabkowicesl.pl
